"","Row.names","CCL2","CDH2","COL3A1","CYP1B1","INHBA","PPIC","SNAI1","TNC","AMD1","CDH1","EGR1","FOS","HMGA2","HMMR","numSig","State","state_encoding","primary_or_metastasis","pm_encoding"
"1","ACH-000012",NA,NA,NA,0.107003108839819,0.155610926816593,0.41961703215383,0.841869078965572,1.19626638595545,NA,NA,NA,NA,NA,NA,5,"E","0","Primary","0"
"2","ACH-000015",NA,1.24425317324476,2.13325188814095,1.69860109614152,NA,0.803701708761557,0.155846163644025,NA,-0.135675128842014,-0.9429319662165,NA,NA,NA,-1.11609483229626,8,"M","1","Primary","0"
"3","ACH-000021",0.023965293989522,NA,NA,1.80806711311068,NA,1.16120151678356,NA,NA,NA,NA,-0.369204146509115,-0.0500112530263858,NA,NA,5,"E","0","Metastasis","1"
"4","ACH-000029",NA,NA,NA,NA,NA,0.0758478141671676,0.743507663478929,1.40837725227549,-0.619152845264159,NA,NA,NA,NA,NA,4,"E","0","Primary","0"
"5","ACH-000030",NA,NA,NA,0.905478713176056,1.17226546292173,0.303531412103201,NA,NA,-0.180756230748475,NA,-0.899963173486895,NA,NA,NA,5,"E","0","Primary","0"
"6","ACH-000033",NA,NA,NA,0.573325651572083,NA,1.69249717614002,NA,NA,NA,NA,NA,-0.992952787076865,-0.777699618197633,NA,4,"E","0","Metastasis","1"
"7","ACH-000035",NA,NA,0.196067193115673,1.54137017018408,NA,1.20788674918304,1.86725653629782,0.861709345748859,-1.07599177882477,NA,-0.555925964257572,NA,-1.34476675824958,-0.377755403308999,9,"M","1","Metastasis","1"
"8","ACH-000066",2.19514130712398,NA,NA,NA,NA,1.10713428202013,NA,1.23280343062905,NA,NA,NA,NA,-0.102168082492916,NA,4,"E","0","Metastasis","1"
"9","ACH-000251",NA,NA,NA,NA,NA,0.575430421771126,NA,0.130130419858212,NA,-0.729231002306458,-0.52333486665795,-1.17885187450707,NA,NA,5,"E","0","","0"
"10","ACH-000261",NA,NA,NA,0.789573822083699,NA,0.238291873394861,NA,NA,-0.354360897030722,-0.736549597235109,-0.555112730918245,NA,NA,NA,5,"E","0","Metastasis","1"
"11","ACH-000327",NA,NA,NA,1.55705324864394,NA,0.690606713710483,NA,NA,-1.72629346823443,NA,NA,NA,-0.930326180584206,-1.37632903081524,5,"E","0","Primary","0"
"12","ACH-000337",NA,NA,NA,0.841260966055722,NA,NA,NA,0.404430518349568,NA,NA,-0.236753528330394,-0.927772035158852,NA,NA,4,"E","0","","0"
"13","ACH-000339",NA,1.52061499375109,NA,1.56678250901583,1.00868724515531,0.745124865892144,NA,0.784370149967298,NA,-0.277261330697848,-1.13117777807336,-1.41968895911789,NA,NA,8,"M","1","","0"
"14","ACH-000343",NA,NA,2.19031676133102,1.03636260449012,NA,0.870699927110444,1.53109505802571,NA,-0.0431091561036552,-0.828550337118816,NA,-0.519932977446983,NA,-0.357384133277602,8,"M","1","Primary","0"
"15","ACH-000414",NA,NA,NA,0.0348206860237522,NA,0.237073045939382,NA,NA,NA,NA,NA,NA,-1.33924191130913,NA,3,"E","0","Metastasis","1"
